time,open,high,low,close,volume
2022-11-14,44.16,44.41,42.93,43.42,1642109
2022-11-15,42.93,42.93,40.42,40.42,3123365
2022-11-16,37.6,42.93,37.6,42.5,3056552
2022-11-17,42.5,44.16,39.56,43.55,1548529
2022-11-18,43.0,44.16,42.44,43.85,1264028
2022-11-21,42.63,44.04,42.63,43.0,842416
2022-11-22,42.93,44.16,42.38,43.24,1178595
2022-11-23,42.93,43.55,42.75,43.24,467451
2022-11-24,42.81,43.55,42.57,43.24,789675
2022-11-25,43.3,44.16,43.24,44.16,1268624
2022-11-28,44.41,45.69,44.34,45.57,1151034
2022-11-29,45.94,45.94,44.77,45.57,1146480
2022-11-30,45.69,45.94,45.08,45.76,914889
2022-12-01,46.06,46.49,45.45,45.82,1779052
2022-12-02,45.82,47.66,45.39,47.47,2906008
2022-12-05,47.84,48.45,47.47,48.02,1221587
2022-12-06,48.02,48.39,46.61,46.61,1541582
2022-12-07,46.55,46.98,45.88,46.92,1031634
2022-12-08,47.17,48.33,46.37,47.23,1269574
2022-12-09,46.8,47.84,46.74,47.84,989370
2022-12-12,47.6,47.96,46.86,47.23,1215379
2022-12-13,46.74,47.41,46.12,47.35,901395
2022-12-14,47.35,47.53,46.68,46.8,1159669
2022-12-15,46.86,47.9,46.86,47.66,1172479
2022-12-16,47.23,47.84,46.86,47.78,912560
2022-12-19,48.02,48.02,46.98,46.98,1028326
2022-12-20,47.35,47.35,46.25,46.98,787843
2022-12-21,47.35,47.47,46.43,47.35,545497
2022-12-22,47.35,47.53,46.61,47.35,659431
2022-12-23,46.86,47.84,46.74,47.84,1222704
2022-12-26,47.66,47.9,46.86,46.86,833640
2022-12-27,46.86,47.53,46.61,46.92,806989
2022-12-28,47.23,47.23,46.61,47.04,590282
2022-12-29,46.92,47.23,46.74,46.74,656647
2022-12-30,46.74,47.17,46.61,47.17,629719
2023-01-03,47.17,49.07,47.1,49.07,1538861
2023-01-04,49.56,49.68,48.64,49.07,796544
2023-01-05,49.19,49.99,49.19,49.44,1014719
2023-01-06,49.31,49.74,49.19,49.25,721096
2023-01-09,49.37,49.62,49.01,49.25,520315
2023-01-10,49.5,49.86,49.19,49.31,754254
2023-01-11,49.31,50.05,49.31,49.62,1078639
2023-01-12,49.68,49.99,49.19,49.5,544065
2023-01-13,49.37,49.8,49.07,49.07,629501
2023-01-16,49.13,49.68,48.88,49.56,576876
2023-01-17,49.8,50.29,49.68,50.29,980634
2023-01-18,50.36,51.15,50.17,51.15,956810
2023-01-19,50.91,51.64,50.85,51.46,1329468
2023-01-27,51.58,52.44,51.52,51.52,1145253
2023-01-30,51.64,51.77,51.34,51.34,893299
2023-01-31,51.21,51.34,50.11,51.21,1531495
2023-02-01,51.52,51.52,50.17,50.29,1051061
2023-02-02,50.36,50.54,49.86,50.23,1327690
2023-02-03,50.29,50.29,49.13,49.13,1730152
2023-02-06,49.07,50.05,48.88,49.37,946115
2023-02-07,49.37,50.23,49.37,49.5,752838
2023-02-08,49.56,50.11,49.44,49.8,671553
2023-02-09,49.68,50.05,49.5,49.5,743939
2023-02-10,49.74,49.8,49.37,49.5,725810
2023-02-13,49.5,49.8,49.07,49.5,614692
2023-02-14,49.5,49.68,49.19,49.56,621417
2023-02-15,49.37,50.23,49.25,50.05,646219
2023-02-16,50.05,50.29,49.5,50.05,425495
2023-02-17,49.8,50.05,49.68,50.05,468845
2023-02-20,50.05,50.91,49.93,50.78,1277504
2023-02-21,50.78,51.34,50.66,50.78,841841
2023-02-22,50.48,50.6,50.17,50.17,748561
2023-02-23,50.11,50.11,49.44,49.93,1161953
2023-02-24,49.74,49.86,49.31,49.56,559986
2023-02-27,49.07,49.37,49.01,49.25,1016698
2023-02-28,49.07,49.5,48.76,49.37,525466
2023-03-01,48.76,49.37,48.27,49.37,1377551
2023-03-02,49.07,49.37,48.94,49.07,431732
2023-03-03,48.64,49.07,48.15,48.15,741791
2023-03-06,47.9,48.94,47.9,47.96,818674
2023-03-07,48.52,49.01,48.33,48.33,793553
2023-03-08,48.15,48.76,48.15,48.76,511968
2023-03-09,48.76,49.5,48.58,49.44,641624
2023-03-10,49.19,49.31,48.45,48.76,641543
2023-03-13,47.9,48.7,47.9,48.39,887883
2023-03-14,48.45,48.52,48.15,48.27,428257
2023-03-15,48.52,49.37,48.52,49.37,693264
2023-03-16,49.07,49.07,48.09,48.58,850831
2023-03-17,48.82,49.07,48.21,48.45,430362
2023-03-20,48.52,48.64,47.6,47.6,771192
2023-03-21,48.21,48.27,47.29,47.9,537316
2023-03-22,47.96,48.21,47.6,48.15,611402
2023-03-23,48.09,48.15,47.6,47.84,357327
2023-03-24,48.02,48.33,47.84,48.21,367884
2023-03-27,48.39,48.58,48.15,48.52,768784
2023-03-28,48.58,48.58,47.53,48.58,1001517
2023-03-29,48.58,48.64,48.21,48.45,405351
2023-03-30,48.45,48.64,48.33,48.52,409438
2023-03-31,48.52,48.76,48.45,48.52,672646
2023-04-03,48.7,49.62,48.52,49.62,1172390
2023-04-04,49.62,49.68,49.07,49.37,585746
2023-04-05,49.37,49.44,48.88,49.44,423371
2023-04-06,49.5,49.99,49.25,49.25,614350
2023-04-07,49.19,49.5,49.07,49.37,360755
2023-04-10,49.68,49.68,49.13,49.25,771039
2023-04-11,49.19,49.37,49.13,49.25,534886
2023-04-12,49.25,49.37,49.01,49.25,575815
2023-04-13,49.25,49.31,48.64,48.82,542069
2023-04-14,49.01,49.13,48.64,48.82,399536
2023-04-17,48.82,48.88,48.45,48.82,450882
2023-04-18,48.82,49.07,48.58,48.7,302472
2023-04-19,48.94,48.94,48.64,48.64,420463
